n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
1,100,1.0000,6192.4300,1.0000,1,1
2,86,1.0000,6417.0116,1.6000,2,2
3,105,1.0000,6463.6476,2.0000,2,3
4,15,0.0148,5073.2667,2.6667,3,4
5,85,0.9890,4123.0353,3.2938,3,5
6,81,0.9901,4106.8148,3.5734,4,5
7,119,0.9878,3934.5294,3.7909,4,5
8,48,0.0640,3049.9583,4.5570,5,6
9,41,0.9197,2499.1463,5.1131,5,7
10,156,0.9244,2563.4295,5.1957,5,7
