n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
1,102,1.0000,19517.4118,1.0000,1,1
2,96,1.0000,19390.5625,1.6000,2,2
3,92,1.0000,19930.2935,2.0000,2,3
4,20,0.0062,15509.4000,2.6667,3,4
5,86,0.9962,13025.5930,3.2935,3,5
6,80,0.9961,12729.3125,3.6110,4,5
7,109,0.9960,12614.7798,3.8534,4,5
8,53,0.0253,9947.5660,4.6028,5,6
9,49,0.9686,8444.3878,5.1911,5,7
10,154,0.9724,8742.2078,5.2596,5,7
