n,popularity,avg. convincity,avg. playouts,avg. path,med. path ,max. path
1,94,1.0000,64796.3511,1.0000,1,1
2,89,1.0000,63365.7079,1.6000,2,2
3,111,1.0000,64976.8288,2.1110,2,3
4,20,0.0024,47906.0500,2.6667,3,4
5,78,0.9986,41928.8077,3.2901,3,5
6,81,0.9986,42584.0864,3.6237,4,5
7,120,0.9985,40883.8167,3.8857,4,5
8,59,0.0090,34551.0339,4.6451,5,6
9,55,0.9904,30525.7455,5.2244,5,7
10,145,0.9900,29368.4069,5.2857,5,7
