n,q_mcts_10,mcts_10
30,33,25
10,32,63
27,34,28
22,33,31
23,33,32
28,34,27
20,33,35
11,31,60
12,32,55
21,34,34
16,33,39
17,34,42
24,34,32
15,33,45
26,33,28
14,32,46
25,33,30
13,34,50
9,31,71
19,34,36
18,33,39
8,47,77
7,68,98
6,80,104
5,88,111
4,151,157
3,247,244
1,323,321
2,281,282
